Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
07/05/2014 23:23:34	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.3.0	07/05/2014 23:23:34	07/06/2014 04:23:34	7680
07/05/2014 23:36:00	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.4.0	07/05/2014 23:36:00	07/06/2014 04:36:00	7680
07/06/2014 00:39:42	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.5.0	07/06/2014 00:39:42	07/06/2014 05:39:42	6144
07/06/2014 00:42:47	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.7.0	07/06/2014 00:42:47	07/06/2014 05:42:47	5120
07/06/2014 01:41:49	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.9.0	07/06/2014 01:41:48	07/06/2014 06:41:48	6144
07/06/2014 02:05:47	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.10.0	07/06/2014 02:05:46	07/06/2014 07:05:46	6656
07/06/2014 02:39:33	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.12.2986	07/06/2014 02:39:32	07/06/2014 07:39:32	7680
07/06/2014 02:57:44	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.13.3532	07/06/2014 02:57:44	07/06/2014 07:57:44	7680
07/06/2014 04:09:04	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.14.5671	07/06/2014 04:09:04	07/06/2014 09:09:04	8704
07/06/2014 12:04:53	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.15.19946	07/06/2014 12:04:53	07/06/2014 17:04:53	8192
07/06/2014 12:59:09	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.16.21574	07/06/2014 12:59:09	07/06/2014 17:59:09	8192
07/06/2014 15:50:13	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	1.0.17.26706	07/06/2014 15:50:13	07/06/2014 20:50:13	8192
07/06/2014 16:30:55	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	3.0.18.27927	07/06/2014 16:30:54	07/06/2014 21:30:54	8192
07/06/2014 16:39:12	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	3.0.19.28175	07/06/2014 16:39:11	07/06/2014 21:39:11	8192
07/06/2014 16:40:34	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	3.0.20.28216	07/06/2014 16:40:33	07/06/2014 21:40:33	8192
07/06/2014 17:19:59	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	3.0.21.29399	07/06/2014 17:19:59	07/06/2014 22:19:59	8192
07/06/2014 17:29:41	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	3.0.22.29690	07/06/2014 17:29:41	07/06/2014 22:29:41	8704
07/06/2014 17:55:57	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	3.0.23.30478	07/06/2014 17:55:57	07/06/2014 22:55:57	8704
07/06/2014 18:12:49	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\AnyCSV\bin\Debug\WizardWrx.AnyCSV.dll	AnyCSV	AnyCSV	3.0.24.30984	07/06/2014 18:12:49	07/06/2014 23:12:49	8192
