Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
07/05/2014 12:50:37	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.1.21318	07/05/2014 12:50:36	07/05/2014 17:50:36	20480
07/05/2014 12:52:30	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.2.21374	07/05/2014 12:52:30	07/05/2014 17:52:30	20480
07/05/2014 13:06:24	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.3.21791	07/05/2014 13:06:23	07/05/2014 18:06:23	20992
07/05/2014 13:08:48	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.4.21864	07/05/2014 13:08:48	07/05/2014 18:08:48	20992
07/05/2014 14:25:58	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.5.24178	07/05/2014 14:25:57	07/05/2014 19:25:57	20992
07/05/2014 14:47:51	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.6.24835	07/05/2014 14:47:50	07/05/2014 19:47:50	21504
07/05/2014 14:50:17	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.7.24908	07/05/2014 14:50:16	07/05/2014 19:50:16	21504
07/05/2014 14:53:41	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.8.25010	07/05/2014 14:53:40	07/05/2014 19:53:40	21504
07/05/2014 14:58:06	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.10.25143	07/05/2014 14:58:06	07/05/2014 19:58:06	21504
07/05/2014 14:59:35	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.11.25187	07/05/2014 14:59:35	07/05/2014 19:59:35	21504
07/05/2014 15:00:31	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.12.25215	07/05/2014 15:00:30	07/05/2014 20:00:30	21504
07/05/2014 15:06:16	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	1.0.13.25387	07/05/2014 15:06:15	07/05/2014 20:06:15	21504
07/06/2014 16:31:02	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	3.0.14.27930	07/06/2014 16:31:02	07/06/2014 21:31:02	22016
07/06/2014 16:39:17	Post-Build - Record Assembly Info	C:\Documents and Settings\DAG\My Documents\Visual Studio 2010\Projects\WizardWrx_Libs\CSVParser\NOTES\CSVCodeProject\ConsoleUtility1\bin\Debug\ConsoleUtility1.exe	ConsoleUtility1	ConsoleUtility1	3.0.15.28178	07/06/2014 16:39:16	07/06/2014 21:39:16	22016
