"FileName","Drive_#","Access_Mode","Size","Last_Access","Last_Modify","Created"
"C:\bin\Clear_Recycle_Bin_of_Items_Over_X_Days_Old.VBS","2","33060","10413","2016/09/10 18:27:09","2014/12/18 22:27:46","2013/04/18 10:11:06"
"C:\bin\MakeShortcut.VBS","2","33206","50086","2016/09/11 16:25:53","2016/09/11 16:25:53","2015/09/22 00:05:04"
"C:\bin\ParseTaggedArgs.VBS","2","33060","23067","2016/09/10 18:27:08","2009/10/19 20:51:34","2014/09/01 13:47:36"
"C:\bin\Perl\eg\Windows Script Components\test.vbs","2","33206","284","2016/06/14 00:20:00","2000/08/10 18:49:26","2000/08/10 18:49:26"
"C:\Documents and Settings\All Users\Documents\H_DEASE\UTIL_from_ZAPHOD42\NBIDDQL.VBS","2","33206","6121","2016/08/14 21:16:52","2012/01/31 10:44:34","2014/10/28 12:00:38"
"C:\Documents and Settings\All Users\Documents\NOLANB\BACKUPS\_Misc_Backups\UTIL_DAGDEV\UTIL_Milestone_20140129_113158\NBIDDQL.VBS","2","33206","6121","2016/08/15 04:32:28","2012/01/31 10:44:34","2015/09/01 00:11:57"
"C:\Documents and Settings\All Users\Documents\NOLANB\TASKS\DataEase_on_X64\Windows_Server_REFERENCE\CALL_OUT_UTIL_20130423_111142\NBIDDQL.VBS","2","33206","6121","2016/08/15 04:34:26","2012/01/31 12:44:34","2014/10/17 10:45:17"
"C:\Documents and Settings\All Users\Documents\NOLANB\TASKS\DataEase_on_X64\Windows_Server_REFERENCE\UTIL_SQLSERVER2K\NBIDDQL.VBS","2","33060","6121","2016/08/15 04:35:15","2012/01/31 11:44:34","2014/10/17 10:44:42"
"C:\Documents and Settings\All Users\Documents\NOLANB\TASKS\_EMV_Credit_Card_Processing\_Deliverables_Prep\UTIL_ZAPHOD42_20160309_085628\NBIDDQL.VBS","2","33206","6121","2016/08/15 05:38:25","2012/01/31 09:44:34","2012/01/31 09:44:34"
"C:\Documents and Settings\All Users\Documents\NOLANB\TASKS\_PTI_Gate_2016\UTIL_Rock_Hill\NBIDDQL.VBS","2","33206","6121","2016/08/15 03:24:31","2012/01/31 10:44:34","2012/01/31 10:44:34"
"C:\Documents and Settings\All Users\Documents\NOLANB\_Installation_Packages\Remote\2013\20131016\REPORTS\UTIL_20130919_150654\NBIDDQL.VBS","2","33206","6121","2016/08/15 21:11:43","2012/01/31 11:44:34","2014/10/17 10:03:06"
"C:\Documents and Settings\All Users\Documents\NOLANB\_Installation_Packages\UTIL_Reference\NBIDDQL.VBS","2","33060","6121","2016/08/14 23:45:07","2012/01/31 10:44:34","2014/10/17 10:04:09"
"C:\Documents and Settings\All Users\Documents\Other_Clients\Justice_Marty\01137_Inspection_Worksheet\Experiments\hey0425.VBS","2","33060","5927","2016/08/15 03:49:45","2008/08/19 14:07:52","2008/08/19 13:50:04"
"C:\Documents and Settings\All Users\Documents\Other_Clients\Justice_Marty\01137_Inspection_Worksheet\Experiments\tips0719.VBS","2","33060","6231","2016/08/15 03:49:48","2008/08/19 12:34:34","2008/08/19 11:51:49"
"C:\Documents and Settings\DAVE\Documents\Programming\Classic_ASP_Review\scripts\WebApplication1_Solution_Elevated.VBS","2","33060","384","2016/01/24 21:07:48","2015/12/24 18:43:38","2015/12/24 18:40:52"
"C:\Documents and Settings\DAVE\Documents\Programming\CMD\WWSetVBS\WWWhichEngine.VBS","2","33060","2239","2016/06/14 00:14:47","2010/05/02 17:52:22","2014/09/01 13:58:14"
"C:\Documents and Settings\DAVE\Documents\Programming\CMD\XCOPY_InUse_File\REFERENCE\ElevationToolkit1\TestElevation.vbs","2","33060","1867","2016/06/14 00:14:47","2010/04/21 13:15:18","2014/09/01 13:58:14"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\Common.vbs","2","33060","39084","2016/09/10 19:05:00","2015/12/06 17:50:48","2015/12/06 17:50:41"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\CreateFolder1.VBS","2","33206","260","2016/01/09 00:01:13","2015/03/22 17:49:28","2015/03/22 17:48:38"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\GZip.vbs","2","33060","595","2016/01/09 00:01:13","2009/12/12 04:48:14","2014/09/01 13:58:21"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\MakeShortcut.VBS","2","33060","23095","2016/01/09 00:01:13","2015/09/22 02:06:11","2015/09/22 00:05:04"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\BELogScan\BELogScan.vbs","2","33060","4539","2016/01/09 00:01:14","2005/12/24 20:26:06","2014/09/01 13:58:22"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\DelTempFiles\ParseTaggedArgs.VBS","2","33060","23067","2016/01/09 00:01:14","2009/10/19 20:51:34","2014/09/01 13:58:22"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\ExtractWinEvents\ExtractWinEvents.VBS","2","33060","116500","2016/01/09 00:01:14","2009/10/29 22:38:20","2014/09/01 13:58:21"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\ExtractWinEvents\Formatting\TestCode\ExtractWinEvents.VBS","2","33060","116500","2016/01/09 00:01:14","2009/10/29 22:38:20","2014/09/01 13:58:22"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\ParseTaggedArgs\ParseTaggedArgs.VBS","2","33060","23067","2016/01/09 00:01:14","2009/10/19 20:51:34","2014/09/01 13:58:21"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\Recycle_Bin_Pruner\Clear_Recycler_Bin_of_Iitems_Ove_X_Dday_Old.VBS","2","33060","2343","2016/01/09 00:01:14","2013/04/18 10:34:18","2014/09/01 13:58:21"
"C:\Documents and Settings\DAVE\Documents\Programming\VBScript\SetDocProps\SetMSODocProps.VBS","2","33060","27269","2016/01/09 00:01:14","2009/08/10 10:36:34","2014/09/01 13:58:21"
"C:\Documents and Settings\DAVE\Documents\Programming\Visual_Studio_6\DLL\EventLogging\scripts\ELARegistrar_Solution_Elevated.VBS","2","33060","363","2016/03/23 23:15:19","2016/01/24 21:11:03","2016/01/24 21:09:40"
"C:\Documents and Settings\DAVE\Documents\Programming\WinBatch_Studio\Retired\2007TZFIX\scripts\refreshTZinfo.vbs","2","33060","7642","2016/01/09 00:05:15","2007/03/05 18:28:56","2014/09/01 14:00:18"
"C:\Documents and Settings\DAVE\OneDrive\OneDrive - Simple Soft Services, Inc\REFERENCE\NTFS Streams and Hard Links\HardLinks.vbs","2","33206","3018","2016/08/16 01:48:18","2015/11/15 20:21:45","2016/06/11 17:16:56"
"C:\Documents and Settings\DAVE\OneDrive\OneDrive - Simple Soft Services, Inc\REFERENCE\NTFS Streams and Hard Links\RWStream.vbs","2","33206","3026","2016/08/16 01:48:18","2015/11/15 20:21:46","2016/06/11 17:15:58"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\BASIC\Common.vbs","2","33060","39084","2016/09/10 19:05:01","2015/12/06 17:50:48","2015/12/06 17:50:41"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\HTML\IEspy_src\IEspy.vbs","2","33060","31254","2016/08/16 01:49:43","2004/06/03 16:27:06","2014/10/16 14:22:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\HTML\IEspy_src\IEspy_Network.vbs","2","33060","21296","2016/08/16 01:49:43","2004/06/03 16:27:22","2014/10/16 14:22:07"
"C:\Documents and Settings\DAVE\OneDrive\REFERENCE\NTFS Streams and Hard Links\HardLinks.vbs","2","33060","3018","2016/08/15 23:12:19","2000/02/04 17:58:54","2014/10/16 14:22:40"
