"FileName","Drive_#","Access_Mode","Size","Last_Access","Last_Modify","Created"
"C:\bin\WizardWrx.DLLServices2.dll.config","2","33206","8468","2016/09/06 23:10:50","2016/06/05 20:20:48","2014/10/16 14:43:43"
"C:\Documents and Settings\All Users\Documents\H_DEASE\AI_PKG_400\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/08/14 19:39:12","2014/09/09 17:08:54","2014/10/29 02:41:33"
"C:\Documents and Settings\All Users\Documents\H_DEASE\UTIL_from_ZAPHOD42\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/08/14 21:17:33","2014/09/09 17:08:54","2014/10/28 12:01:06"
"C:\Documents and Settings\All Users\Documents\NOLANB\TASKS\Corrupted_HO_Logbase\distribution\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/08/15 03:03:19","2014/07/12 15:34:52","2014/10/17 10:50:09"
"C:\Documents and Settings\All Users\Documents\NOLANB\TASKS\_EMV_Credit_Card_Processing\_Deliverables_Prep\UTIL_ZAPHOD42_20160309_085628\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/08/15 05:39:03","2014/09/09 16:08:54","2014/09/09 16:08:54"
"C:\Documents and Settings\All Users\Documents\NOLANB\TASKS\_PTI_Gate_2016\UTIL_Rock_Hill\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/08/15 03:25:27","2014/09/09 16:08:54","2014/09/09 16:08:54"
"C:\Documents and Settings\All Users\Documents\NOLANB\_Installation_Packages\Remote\2014\20141010\AI_PKG_400\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/08/15 20:30:15","2014/09/09 17:08:54","2014/10/17 10:04:04"
"C:\Documents and Settings\All Users\Documents\NOLANB\_Installation_Packages\UTIL_Reference\WizardWrx.DLLServices2.dll.config","2","33060","2976","2016/08/14 23:45:45","2014/09/09 17:08:54","2014/11/22 19:36:53"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\Console_Color_Writer\ConsoleAppAids2\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/01/08 23:58:43","2014/06/23 11:06:24","2014/10/16 14:43:22"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\Console_Color_Writer\ConsoleAppAids2\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/01/08 23:58:43","2014/06/23 11:06:24","2014/10/16 14:43:22"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\Console_Color_Writer\ConsoleAppAids2\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/01/08 23:58:44","2014/06/23 11:06:24","2014/10/16 14:43:22"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\Console_Color_Writer\TestStand\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/01/08 23:58:44","2014/07/20 21:38:56","2014/10/16 14:43:25"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\Console_Color_Writer\TestStand\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/01/08 23:58:44","2014/06/23 11:06:24","2014/12/15 22:10:34"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\Console_Color_Writer\TestStand\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/01/08 23:58:44","2014/06/23 11:06:24","2014/10/16 14:43:25"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\DLLServices2\DLLServices2\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/06/08 12:57:59","2014/06/22 17:03:04","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\DLLServices2\DLLServices2\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/01/08 23:58:45","2014/06/22 17:03:04","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\DLLServices2\DLLServices2\bin\Release\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/06/08 13:13:28","2014/06/22 17:03:04","2014/10/16 14:43:43"
"C:\Documents and Settings\DAVE\Documents\Articles_2015\Console_Output_Magic\DLLServices2\DLLServices2TestStand\bin\Debug\WizardWrx.DLLServices2.dll.config","2","33206","2976","2016/01/08 23:58:45","2014/06/22 17:03:04","2014/10/16 14:43:44"
